data_time,year,product_category,district,inspection_result,shop_name,original_location,failure_reasons,updated_at
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,南山,不符合規定,永祥蔬果行,永祥蔬果行/臺北市南港區同德路77號,"[""殺蟲劑Chlorfenapyr 克凡派1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,中山,不符合規定,八方行食品股份有限公司(八方行),八方行食品股份有限公司(八方行)/臺北市中山區民族東路410巷23弄1號1樓,"[""生長調節劑Chlormequat 克美素0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,中山,不符合規定,暢記蔬果行(蔬果行),暢記蔬果行(蔬果行)/臺北市中山區德惠街112號1樓,"[""殺蟲劑Emamectin benzoate 因滅汀0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,士林,不符合規定,大苑子士林文林店,大苑子士林文林店/臺北市士林區文林路20號,"[""殺蟲劑Chlorpyrifos 陶斯松0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,南港,不符合規定,日鮮蔬果專賣店,日鮮蔬果專賣店/臺北市萬華區貴陽街2段137號,"[""殺蟲劑Metaflumizone 美氟綜0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,信義,不符合規定,涮乃葉統一時代市府店,涮乃葉統一時代市府店/臺北市信義區忠孝東路5段8號3樓,"[""殺蟲劑Abamectin 阿巴汀0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,信義,不符合規定,鎮饌股份有限公司(台北彭園會館),鎮饌股份有限公司(台北彭園會館)/臺北市信義區忠孝東路5段297號5樓,"[""殺蟲劑Chlorpyrifos 陶斯松0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,核果類,南山,不符合規定,阿一蔬果有限公司,阿一蔬果有限公司/臺北市南港區忠孝東路6段85號,"[""殺蟲劑Pyriproxyfen 百利普芬0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,果菜類,中山,不符合規定,美麗華城市發展股份有限公司(時時香美麗華店),美麗華城市發展股份有限公司(時時香美麗華店)/臺北市中山區敬業三路20號5樓,"[""殺蟲劑Chlorfenapyr 克凡派0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,大漿果類,信義,不符合規定,富安蔬果行,富安蔬果行/臺北市信義區吳興街208號1樓,"[""殺菌劑Difenoconazole 待克利0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,核果類,信義,不符合規定,富安蔬果行,富安蔬果行/臺北市信義區吳興街208號1樓,"[""殺蟲劑Chlorpyrifos 陶斯松0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,信義,不符合規定,東京牛角股份有限公司(溫野菜日本涮涮鍋誠品信義店),東京牛角股份有限公司(溫野菜日本涮涮鍋誠品信義店)/臺北市信義區松高路11號4樓,"[""殺蟲劑Chlorfenapyr 克凡派1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,蟹類,南山,不符合規定,六福開發股份有限公司南港分公司(台北六福萬怡酒店),六福開發股份有限公司南港分公司(台北六福萬怡酒店)/臺北市南港區忠孝東路7段359號7樓,"[""初抽不符合規定，鎘：2.3mg/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,盛裝飲用水,中山,不符合規定,宜日和餐飲股份有限公司(糀日和Kouji Cafe),宜日和餐飲股份有限公司(糀日和Kouji Cafe)/臺北市中山區中山北路2段27巷14號1樓,"[""大腸桿菌群：陽性""]",2026-05-03T00:48:46.175674+08:00
